 ,ImageID,Genotype,FlyNum,Temperature,Stage,StageComment,Nucleus,NucleusComment,PosteriorGap,LateralGap,GapMarker,GapComment,BazookaExclusion,BazookaComment,Par1atPosterior,Par1Comment,AnalystName,AnalysisDate,Camera,Objective,TimeInterval,Timepoints,PixelSize,VoxelSize,Wavelength_Ch1,LP_Ch1,Exposure(s)_Ch1,EMGain_Ch1,Wavelength_Ch2,LP_Ch2,Exposure(s)_Ch2,EMGain_Ch2,Wavelength_Ch3,LP_Ch3,Exposure(s)_Ch3,EMGain_Ch3
41,20200928_3 positions DIC2_Oocyte3,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,2,25,10A,,not visible,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
42,20200605_MCZ (Z First)1_Oocyte1.tif,w; UASp>GFP::PAR1(N1S)/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,10A,,not visible,,No,Yes,Jupiter,,NA,,Yes,,Ana Milas,20201019,ZYLA,40X WI,90 sec,140,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
43,20200605_MCZ (Z First)2_Oocyte1_first.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,2,18,10B,,OK,,Yes,Yes,Jupiter,,No,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,140,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
44,20200605_MCZ (Z First)2_Oocyte2_first.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,2,18,10B,,not visible,,No,Yes,Jupiter,,Yes,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,140,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
45,20200605_MCZ (Z First)2_Oocyte3_first.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,2,18,10B,,not visible,,Yes,Yes,Jupiter,,Yes,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,140,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
46,20200608_MCZ (Z First)_Oocyte1_first.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,9,,not visible,,No,Yes,Jupiter,,Yes,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,140,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
47,20200608_MCZ (Z First)_Oocyte2_first.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,9,,OK,,No,No,Jupiter,,No,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,140,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
48,20200608_MCZ (Z First)1_Oocyte1_first.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,2,18,10A,,OK,,No,Yes,Jupiter,,Yes,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,140,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
49,20200608_MCZ (Z First)1_Oocyte2_first.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,2,18,9,,OK,,No,Yes,Jupiter,Small lateral gap,No,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,140,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
50,20200611_MCZ (Z First)_Oocyte1_first.tif,w; UASp>GFP::PAR1(N1S)/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,10B,,OK,,Yes,Yes,Jupiter,,NA,,Yes,,Ana Milas,20201019,ZYLA,40X WI,120 sec,140,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
51,20200611_MCZ (Z First)_Oocyte2_first.tif,w; UASp>GFP::PAR1(N1S)/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,10B,,OK,,Yes,Yes,Jupiter,,NA,,Yes,,Ana Milas,20201019,ZYLA,40X WI,120 sec,140,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
52,20200611_MCZ (Z First)_Oocyte3_first.tif,w; UASp>GFP::PAR1(N1S)/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,9,,not visible,,No,No,Jupiter,,NA,,Yes,,Ana Milas,20201019,ZYLA,40X WI,120 sec,140,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
53,20200611_MCZ (Z First)1_Oocyte1_first.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,10B,,not visible,,No,Yes,Jupiter,,Yes,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,140,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
54,20200611_MCZ (Z First)1_Oocyte2_first.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,10B,,OK,,Yes,Yes,Jupiter,,No,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,140,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
